TransactionAmount,TransactionTime,MerchantCategory,CustomerAge,AccountBalance,NumberOfTransactionsToday,Fraud
72.03,14,Retail,30,11311.70,8,0
71.42,6,Electronics,63,9661.54,8,0
93.41,4,Gas_Station,56,7134.03,2,0
12.24,8,Grocery,33,6993.46,4,0
666.71,14,Retail,27,9272.85,1,1
300.60,2,Online_Shop,60,5907.37,3,1
60.57,5,Grocery,65,9487.37,9,0
18.51,8,Electronics,67,1266.89,3,0
48.77,13,Grocery,47,7148.09,4,0
80.56,11,Retail,28,7673.09,2,0
63.80,21,Retail,48,4808.63,2,0
42.38,17,Electronics,42,1756.17,9,0
23.47,18,Retail,42,8939.66,6,0
258.72,19,Online_Shop,30,4207.04,4,0
29.39,4,Online_Shop,58,2766.58,7,0
35.56,8,Electronics,25,14340.12,9,0
209.38,10,Gas_Station,42,3576.03,9,0
56.36,6,Retail,52,9519.51,2,0
81.88,10,Electronics,22,11656.67,7,0
130.07,23,Online_Shop,53,9216.63,3,0
63.92,5,Electronics,51,13796.81,1,0
36.43,19,Online_Shop,32,1951.73,7,0
376.71,18,Grocery,49,8389.64,6,0
236.97,6,Online_Shop,21,14665.19,2,0
61.98,10,Online_Shop,46,1559.34,4,0
16.90,14,Online_Shop,45,8770.94,7,0
269.94,13,Gas_Station,27,8837.99,1,0
28.14,18,Gas_Station,59,8462.72,7,0
171.49,2,Grocery,59,704.67,5,1
26.64,8,Retail,66,829.36,2,0
65.21,3,Grocery,69,14669.00,9,0
9.52,15,Electronics,58,4336.97,3,0
61.64,23,Gas_Station,70,9916.66,6,0
21.94,18,Gas_Station,72,859.39,9,0
76.16,11,Online_Shop,53,11825.20,8,0
66.35,19,Grocery,71,12826.00,8,0
75.92,9,Retail,67,7176.85,8,0
128.92,4,Retail,68,3063.26,4,0
291.27,9,Online_Shop,62,5548.17,1,0
4.39,8,Grocery,40,10545.80,5,0
109.48,19,Gas_Station,71,3310.85,3,0
240.86,7,Gas_Station,36,11072.09,9,0
265.49,7,Grocery,32,11904.90,5,0
267.23,1,Gas_Station,51,6603.17,2,0
220.77,22,Gas_Station,46,2615.04,3,0
51.19,16,Gas_Station,62,10190.35,2,0
34.02,0,Retail,68,51.29,1,0
141.48,7,Online_Shop,54,12464.20,8,0
32.30,8,Online_Shop,57,6319.72,8,0
13.35,1,Retail,51,13693.87,1,0
22.72,11,Electronics,72,11825.59,7,0
130.09,18,Grocery,28,2578.93,7,0
29.78,20,Online_Shop,43,4532.99,1,0
21.51,17,Grocery,47,8300.80,4,0
272.38,1,Grocery,22,3933.49,1,0
4.97,2,Online_Shop,70,13709.54,9,0
20.47,18,Grocery,38,6782.47,6,0
163.55,16,Online_Shop,53,9614.71,8,0
235.78,18,Gas_Station,65,14728.36,7,0
7.10,14,Electronics,31,14785.78,2,0
98.53,23,Gas_Station,31,8856.35,6,0
24.44,3,Gas_Station,73,223.40,5,0
183.49,16,Grocery,26,14672.97,3,0
12.95,15,Retail,33,5120.86,6,0
203.48,2,Grocery,69,2689.95,2,1
52.56,11,Retail,21,10921.34,3,0
86.79,23,Gas_Station,36,2493.10,4,0
171.93,6,Retail,28,870.54,3,0
83.65,11,Gas_Station,19,11658.04,6,0
416.18,19,Grocery,69,1220.74,6,1
497.44,1,Electronics,54,7616.46,6,1
104.63,10,Online_Shop,35,4931.19,8,0
4.14,7,Gas_Station,64,7801.02,5,0
160.25,9,Grocery,24,11043.49,9,0
50.01,3,Retail,18,5045.34,8,0
35.42,7,Retail,61,13696.67,7,0
110.12,11,Retail,20,14277.64,6,0
139.96,3,Electronics,61,1721.54,5,0
121.89,19,Retail,74,10168.16,9,0
5.08,13,Electronics,58,8818.53,8,0
144.08,14,Grocery,37,9567.84,8,0
285.59,1,Grocery,30,3528.96,4,0
69.04,10,Gas_Station,18,9866.26,3,0
65.54,0,Retail,35,8690.47,4,0
34.97,7,Retail,21,6385.00,4,0
67.26,12,Grocery,71,14620.78,1,0
28.15,10,Retail,70,4687.51,3,0
503.39,21,Gas_Station,50,4974.96,9,1
67.99,9,Electronics,42,962.30,4,0
79.97,0,Grocery,25,102.18,6,0
20.44,13,Gas_Station,18,7391.49,1,0
28.24,8,Online_Shop,53,14598.90,4,0
62.97,22,Online_Shop,57,9804.72,9,0
455.79,21,Retail,23,2560.65,3,1
29.77,4,Electronics,51,4601.74,7,0
268.89,12,Online_Shop,42,5683.84,1,0
168.44,23,Electronics,27,9684.62,7,0
86.16,19,Retail,20,9511.97,8,0
170.74,5,Electronics,53,4092.93,3,1
12.90,8,Gas_Station,54,4995.38,9,0
