Area,Bedrooms,Price
2097,3,382000.00
2211,4,472000.00
1662,3,344000.00
1897,5,444000.00
2095,2,367000.00
2902,3,565000.00
1660,3,277000.00
3042,5,548000.00
1723,5,340000.00
2438,5,496000.00
2122,2,408000.00
3352,5,585000.00
2175,1,349000.00
3244,4,586000.00
1108,4,286000.00
1569,2,311000.00
2215,3,405000.00
3174,3,506000.00
1932,1,343000.00
3205,4,534000.00
2584,2,437000.00
2923,2,548000.00
960,1,165000.00
3104,1,559000.00
1742,4,360000.00
3157,4,588000.00
1104,4,228000.00
3407,2,593000.00
3236,1,532000.00
2485,3,409000.00
1143,1,217000.00
2101,2,339000.00
2605,5,431000.00
1258,4,288000.00
2466,4,424000.00
3165,1,561000.00
1722,5,316000.00
2779,5,528000.00
2452,4,451000.00
2935,1,496000.00
3089,4,524000.00
1148,3,248000.00
1304,3,243000.00
2568,3,475000.00
2214,1,402000.00
3455,4,629000.00
3211,2,581000.00
1076,1,210000.00
1555,2,256000.00
1959,4,395000.00
2394,3,494000.00
2709,2,512000.00
929,5,267000.00
2780,3,518000.00
1200,1,273000.00
2822,4,598000.00
2740,4,594000.00
903,4,244000.00
2452,1,396000.00
2400,2,474000.00
1652,5,414000.00
1859,3,387000.00
1130,4,376000.00
2529,4,518000.00
2749,5,612000.00
2190,3,420000.00
2381,5,551000.00
2523,4,501000.00
2984,2,573000.00
3284,1,594000.00
2541,5,515000.00
2750,4,592000.00
2774,5,617000.00
3313,3,640000.00
1747,3,392000.00
2597,5,569000.00
1462,3,329000.00
1878,5,424000.00
3501,2,585000.00
985,3,283000.00
2947,3,625000.00
3215,1,554000.00
1632,3,422000.00
1613,3,368000.00
852,4,274000.00
1739,5,437000.00
1467,3,341000.00
3376,5,617000.00
2277,4,447000.00
2961,2,518000.00
1133,1,163000.00
2243,1,417000.00
1656,2,343000.00
3070,3,579000.00
1124,5,346000.00
3090,3,595000.00
1287,4,352000.00
2588,4,521000.00
1123,2,233000.00
2458,3,500000.00
